Rank	Coffee Store Name	Rating	Review Count	Weighted Rating	Zipcode
1	FLEUR	5.0	8	60.82758620689655	98101
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	54.65384615384615	98101
3	Basecamp Cafe	5.0	5	63.95454545454545	98101
4	The Dailies	5.0	6	62.875	98101
5	The Shop by Porter	5.0	14	55.453125	98101
6	Overcast Coffee Company	5.0	54	35.47115384615385	98101
7	Seeking Kombucha	5.0	35	42.61764705882353	98101
8	Evoke Cafe Bar	5.0	16	53.87878787878788	98101
9	Coping Cookies	5.0	6	62.875	98101
10	Coffee Tree & Bop	5.0	29	45.58860759493671	98101
11	Pike Street Coffee	5.0	17	53.126865671641795	98101
12	Konvene Coffee	5.0	132	21.769230769230774	98101
13	Yellow Butterfly Coffee	5.0	4	65.07407407407406	98101
14	Peloton	5.0	116	23.530120481927714	98101
15	Rey Amargo Chocolate Shop	4.5	87	27.770072992700733	98101
16	Metropolitan Cafe	4.5	22	49.68055555555555	98101
17	Caffe Umbria	4.5	33	43.56024096385543	98101
18	Cafe An'Clair	4.5	161	19.258293838862556	98101
19	Cafe Madeline	4.5	26	47.25	98101
20	PIM Bicycles and Coffeehouse	4.5	77	29.681102362204726	98101
1	FLEUR	5.0	8	60.82758620689655	98102
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	54.65384615384615	98102
3	Basecamp Cafe	5.0	5	63.95454545454545	98102
4	The Dailies	5.0	6	62.875	98102
5	The Shop by Porter	5.0	14	55.453125	98102
6	Overcast Coffee Company	5.0	54	35.47115384615385	98102
7	Seeking Kombucha	5.0	35	42.61764705882353	98102
8	Avole Ethiopian Coffee	5.0	19	51.68840579710145	98102
9	Evoke Cafe Bar	5.0	16	53.87878787878788	98102
10	Mas Cafe	5.0	122	22.831395348837212	98102
11	Two Kick	5.0	20	51.0	98102
12	Coping Cookies	5.0	6	62.875	98102
13	Coffee Tree & Bop	5.0	29	45.58860759493671	98102
14	Pike Street Coffee	5.0	17	53.126865671641795	98102
15	Konvene Coffee	5.0	132	21.769230769230774	98102
16	Copper Tree Cafe	5.0	25	47.83333333333333	98102
