Rank	Coffee Store Name	Rating	Zipcode
1	FLEUR	5.0	98101
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	98101
3	The Shop by Porter	5.0	98101
4	The Dailies	5.0	98101
5	Basecamp Cafe	5.0	98101
6	Overcast Coffee Company	5.0	98101
7	Seeking Kombucha	5.0	98101
8	Evoke Cafe Bar	5.0	98101
9	Coping Cookies	5.0	98101
10	Coffee Tree & Bop	5.0	98101
11	Pike Street Coffee	5.0	98101
12	Konvene Coffee	5.0	98101
13	Yellow Butterfly Coffee	5.0	98101
14	Peloton	5.0	98101
15	Rey Amargo Chocolate Shop	4.5	98101
16	Metropolitan Cafe	4.5	98101
17	Caffe Umbria	4.5	98101
18	Cafe An'Clair	4.5	98101
19	Cafe Madeline	4.5	98101
20	PIM Bicycles and Coffeehouse	4.5	98101
21	Rapha - Seattle	4.5	98101
22	Hydrate Juice Bar	4.5	98101
23	Lune Cafe	4.5	98101
24	Overcast Coffee Bar	4.5	98101
25	Phin	4.5	98101
26	Cafe Argento	4.5	98101
27	Monorail Espresso	4.5	98101
28	Monorail Espresso	4.5	98101
29	Ghost Alley Espresso	4.5	98101
30	City Grind	4.5	98101
31	Street Bean Coffee Roasters	4.5	98101
32	Realfine Coffee	4.5	98101
33	Storyville Coffee Company	4.5	98101
34	SELEUSS Chocolates	4.5	98101
35	Ada's Technical Books and Cafe	4.5	98101
36	Caffe Vita at KEXP	4.5	98101
37	Moore Coffee Shop	4.5	98101
38	MarketSpice	4.5	98101
39	Midtown Espresso	4.5	98101
40	Anchorhead Coffee	4.5	98101
41	Seattle Best Tea	4.5	98101
42	Alexandras Macarons	4.5	98101
43	Artly Coffee	4.5	98101
44	Tous Les Jours	5.0	98101
45	Kitanda Espresso & Acai	4.5	98101
46	Storyville Coffee Company	4.5	98101
47	Midnight Cookie	4.5	98101
48	Bake Shop	4.5	98101
49	Himalayan Java Coffee	4.5	98101
50	Indi Chocolate	4.5	98101
1	FLEUR	5.0	98102
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	98102
3	The Shop by Porter	5.0	98102
4	The Dailies	5.0	98102
5	Basecamp Cafe	5.0	98102
6	Overcast Coffee Company	5.0	98102
7	Seeking Kombucha	5.0	98102
8	Avole Ethiopian Coffee	5.0	98102
9	Evoke Cafe Bar	5.0	98102
10	Mas Cafe	5.0	98102
11	Two Kick	5.0	98102
12	Coping Cookies	5.0	98102
13	Coffee Tree & Bop	5.0	98102
14	Pike Street Coffee	5.0	98102
15	Konvene Coffee	5.0	98102
16	Copper Tree Cafe	5.0	98102
17	Yellow Butterfly Coffee	5.0	98102
18	Peloton	5.0	98102
19	Rey Amargo Chocolate Shop	4.5	98102
20	Metropolitan Cafe	4.5	98102
21	Caffe Umbria	4.5	98102
22	Cafe An'Clair	4.5	98102
23	Cafe Madeline	4.5	98102
24	PIM Bicycles and Coffeehouse	4.5	98102
25	Aroom Coffee	4.5	98102
26	Rapha - Seattle	4.5	98102
27	Hydrate Juice Bar	4.5	98102
28	Coffeemind	4.5	98102
29	Lune Cafe	4.5	98102
30	Red Arrow Coffee	4.5	98102
31	Overcast Coffee Bar	4.5	98102
32	Queen Anne Coffee	4.5	98102
33	Cafe Argento	4.5	98102
34	Monorail Espresso	4.5	98102
35	Arosa Cafe	4.5	98102
36	Monorail Espresso	4.5	98102
37	Ghost Alley Espresso	4.5	98102
38	City Grind	4.5	98102
39	Street Bean Coffee Roasters	4.5	98102
40	Realfine Coffee	4.5	98102
41	Storyville Coffee Company	4.5	98102
42	SELEUSS Chocolates	4.5	98102
43	Ada's Technical Books and Cafe	4.5	98102
44	Squirrel Chops	4.5	98102
45	Caffe Vita at KEXP	4.5	98102
46	Moore Coffee Shop	4.5	98102
47	MarketSpice	4.5	98102
48	Midtown Espresso	4.5	98102
49	Seattle Sunshine Coffee	4.5	98102
50	Anchorhead Coffee	4.5	98102
1	FLEUR	5.0	98103
2	Morning Glory Chai	5.0	98103
3	The Shop by Porter	5.0	98103
4	The Dailies	5.0	98103
5	Basecamp Cafe	5.0	98103
6	Overcast Coffee Company	5.0	98103
7	Chocolat Vitale	5.0	98103
8	Seeking Kombucha	5.0	98103
9	Avole Ethiopian Coffee	5.0	98103
