Title	Published_date	Views	Likes	Comments
最好的我们02 耿耿余淮	2020-07-03	655	4	0
最好的我们01 耿耿	2020-07-03	3767	17	0
最好的我们03 另一只脚	2020-07-03	110	2	0
最好的我们05 最好莫过陌生人	2020-07-19	1668	3	0
最好的我们04 喂，所以我们坐同桌吧	2020-07-19	333	3	0
sleep music | liziqi bgm | traditional Chinese music with rain古典睡眠音樂Musica Tradicional China	2020-07-28	798	13	0
sleep music with rain | liziqi b李子柒背景音乐 | one-hour Chinese music 古典睡眠音樂 Musica Tradicional China	2020-07-30	938	10	1
sleep music with rain | liziqi bgm 李子柒 | one-hour Chinese music 古典睡眠音樂 Musica Tradicional China	2020-07-31	17211	271	7
sleep music with rain | liziqi background music 李子柒背景音乐 | one-hour oriental music |	2020-08-02	11331	171	17
sleep music with rain | Chinese song 董贞 | 超好聽的古典睡眠音樂 Musica Tradicional China	2020-08-03	26	0	0
《将嫁》有声小说 第 03 集	2020-08-04	2678	14	0
《将嫁》有声小说 第 02 集	2020-08-04	3434	17	0
《将嫁》有声小说 第 01 集	2020-08-04	13888	55	0
我的刺猬女孩| 吴事生菲cp| 吴景昊 ×韩菲｜李逸男×庄达菲 |  庄达菲【网络剧《我的刺猬女孩Closer To You》同名主题曲】	2020-08-04	326	4	0
《将嫁》有声小说 第 38 集	2020-08-05	1285	8	0
《将嫁》有声小说 第 37 集	2020-08-05	1222	5	0
《将嫁》有声小说 第 36 集	2020-08-05	1386	5	0
《将嫁》有声小说 第 35 集	2020-08-05	1387	6	0
《将嫁》有声小说 第 34 集	2020-08-05	1413	9	0
《将嫁》有声小说 第 33 集	2020-08-05	1439	14	0
《将嫁》有声小说 第 32 集	2020-08-05	1484	16	0
《将嫁》有声小说 第 31 集	2020-08-05	1405	16	2
《将嫁》有声小说 第 30 集	2020-08-05	1419	9	0
《将嫁》有声小说 第 29 集	2020-08-05	1315	12	0
《将嫁》有声小说 第 28 集	2020-08-05	1338	11	0
《将嫁》有声小说 第 27 集	2020-08-05	1308	7	0
《将嫁》有声小说 第 26 集	2020-08-05	1384	14	0
《将嫁》有声小说 第 25 集	2020-08-05	1450	8	0
《将嫁》有声小说 第 24 集	2020-08-05	1526	9	0
《将嫁》有声小说 第 23 集	2020-08-05	1609	9	0
《将嫁》有声小说 第 22 集	2020-08-05	1714	10	0
《将嫁》有声小说 第 21 集	2020-08-05	1655	9	0
《将嫁》有声小说 第 20 集	2020-08-05	1799	12	0
《将嫁》有声小说 第 19 集	2020-08-05	1723	12	0
《将嫁》有声小说 第 18 集	2020-08-05	1377	5	0
《将嫁》有声小说 第 17 集	2020-08-05	1467	7	0
《将嫁》有声小说 第 16 集	2020-08-05	1378	6	0
《将嫁》有声小说 第 15 集	2020-08-05	1435	8	0
《将嫁》有声小说 第 11 集	2020-08-05	1650	10	0
《将嫁》有声小说 第 14 集	2020-08-05	1437	7	0
《将嫁》有声小说 第 13 集	2020-08-05	1417	9	0
《将嫁》有声小说 第 12 集	2020-08-05	1538	10	0
《将嫁》有声小说 第 10 集	2020-08-05	1581	12	0
《将嫁》有声小说 第 09 集	2020-08-05	1518	6	0
《将嫁》有声小说 第 08 集	2020-08-05	1738	11	0
《将嫁》有声小说 第 07 集	2020-08-05	1761	9	0
sleep music with rain | liziqi background music 李子柒背景音乐 | one-hour traditional music 睡眠音樂	2020-08-05	93	2	0
《将嫁》有声小说 第 06 集	2020-08-05	1886	12	0
《将嫁》有声小说 第 05 集	2020-08-05	2172	11	2
《将嫁》有声小说 第 04 集	2020-08-05	2276	19	0
《致我们单纯的小美好》有声小说 第 07 集	2020-08-06	213	1	0
《致我们单纯的小美好》有声小说 第 06 集	2020-08-06	218	2	0
《将嫁》有声小说 第 50 集	2020-08-06	1252	8	0
《将嫁》有声小说 第 49 集	2020-08-06	1129	6	0
《将嫁》有声小说 第 48 集	2020-08-06	1190	5	0
《将嫁》有声小说 第 47 集	2020-08-06	1180	7	0
《将嫁》有声小说 第 46 集	2020-08-06	1167	9	0
《致我们单纯的小美好》有声小说 第 05 集	2020-08-06	268	1	0
《致我们单纯的小美好》有声小说 第 04 集	2020-08-06	308	1	0
《致我们单纯的小美好》有声小说 第 03 集	2020-08-06	313	1	0
《致我们单纯的小美好》有声小说 第 02 集	2020-08-06	357	1	0
《致我们单纯的小美好》有声小说 第 01 集	2020-08-06	1271	6	0
《将嫁》有声小说 第 45 集	2020-08-06	1290	9	0
《将嫁》有声小说 第 44 集	2020-08-06	1238	8	0
《将嫁》有声小说 第 43 集	2020-08-06	1282	5	0
《将嫁》有声小说 第 42 集	2020-08-06	1327	8	0
《将嫁》有声小说 第 41 集	2020-08-06	1445	5	0
《将嫁》有声小说 第 40 集	2020-08-06	1335	11	0
《将嫁》有声小说 第 39 集	2020-08-06	1168	7	0
《致我们暖暖的小时光》有声小说 第 06 集	2020-08-07	135	0	0
《致我们暖暖的小时光》有声小说 第 05 集	2020-08-07	125	0	0
《致我们暖暖的小时光》有声小说 第 04 集	2020-08-07	138	1	0
《致我们暖暖的小时光》有声小说 第 03 集	2020-08-07	174	0	0
《致我们暖暖的小时光》有声小说 第 02 集	2020-08-07	205	0	0
《致我们暖暖的小时光》有声小说 第 01 集	2020-08-07	889	3	0
《将嫁》有声小说 第 55 集	2020-08-07	1279	8	0
《将嫁》有声小说 第 54 集	2020-08-07	1190	5	0
《将嫁》有声小说 第 53 集	2020-08-07	1231	8	0
《将嫁》有声小说 第 52 集	2020-08-07	1176	5	0
《将嫁》有声小说 第 51 集	2020-08-07	1188	5	0
《致我们单纯的小美好》有声小说 第 10 集	2020-08-07	214	0	0
《致我们单纯的小美好》有声小说 第 09 集	2020-08-07	194	1	0
《致我们单纯的小美好》有声小说 第 08 集	2020-08-07	186	1	0
Sleep music | traditional Chinese music with rain | liziqi李子柒背景音乐 古典睡眠音樂 Musica Tradicional China	2020-08-07	473	12	2
锦衣之下 有声小说 第 01 集	2020-08-08	13918	75	7
我好喜欢你原著小说《交换吧运气》 第 06 集	2020-08-08	292	0	0
我好喜欢你原著小说《交换吧运气》 第 05 集	2020-08-08	114	0	0
我好喜欢你原著小说《交换吧运气》 第 04 集	2020-08-08	278	0	0
我好喜欢你原著小说《交换吧运气》 第 03 集	2020-08-08	178	0	0
我好喜欢你原著小说《交换吧运气》 第 02 集	2020-08-08	572	1	0
我好喜欢你原著小说《交换吧运气》 第 01 集	2020-08-08	2059	11	0
《你是我的荣耀》有声小说 第 10 集	2020-08-08	5931	22	3
《你是我的荣耀》有声小说 第 09 集	2020-08-08	5423	17	0
《你是我的荣耀》有声小说 第 08 集	2020-08-08	5716	16	0
《你是我的荣耀》有声小说 第 07 集	2020-08-08	5775	16	0
《你是我的荣耀》有声小说 第 06 集	2020-08-08	5648	13	0
《你是我的荣耀》有声小说 第 05 集	2020-08-08	5499	13	2
《你是我的荣耀》有声小说 第 04 集	2020-08-08	5727	19	0
《你是我的荣耀》有声小说 第 03 集	2020-08-08	5759	14	0
《你是我的荣耀》有声小说 第 02 集	2020-08-08	7245	21	0
《你是我的荣耀》有声小说 第 01 集	2020-08-08	23501	84	5
《将嫁》有声小说 第 64 集 大结局	2020-08-08	2708	30	2
《将嫁》有声小说 第 63 集	2020-08-08	1406	8	0
《将嫁》有声小说 第 62 集	2020-08-08	1328	4	0
《将嫁》有声小说 第 61 集	2020-08-08	1232	8	0
《将嫁》有声小说 第 60 集	2020-08-08	1212	8	0
《将嫁》有声小说 第 59 集	2020-08-08	1133	8	0
《将嫁》有声小说 第 58 集	2020-08-08	1153	8	0
《将嫁》有声小说 第 57 集	2020-08-08	1149	6	0
《将嫁》有声小说 第 56 集	2020-08-08	1243	6	0
sleep music with rain | one-hour Chinese song | 董贞	2020-08-08	32	0	0
我只喜欢你 原著小说  第 13 集【我不喜欢这世界，我只喜欢你】	2020-08-09	231	2	0
我只喜欢你 原著小说  第 12 集【我不喜欢这世界，我只喜欢你】	2020-08-09	226	2	0
我只喜欢你 原著小说  第 18 集【我不喜欢这世界，我只喜欢你】	2020-08-09	262	2	0
我只喜欢你 原著小说  第 19 集【我不喜欢这世界，我只喜欢你】	2020-08-09	243	1	0
我只喜欢你 原著小说  第 08 集【我不喜欢这世界，我只喜欢你】	2020-08-09	318	3	0
我只喜欢你 原著小说  第 06 集【我不喜欢这世界，我只喜欢你】	2020-08-09	382	3	0
我只喜欢你 原著小说  第 07 集【我不喜欢这世界，我只喜欢你】	2020-08-09	255	4	0
我只喜欢你 原著小说  第 05 集【我不喜欢这世界，我只喜欢你】	2020-08-09	409	5	0
我只喜欢你 原著小说  第 04 集【我不喜欢这世界，我只喜欢你】	2020-08-09	439	4	0
我只喜欢你 原著小说  第 03 集【我不喜欢这世界，我只喜欢你】	2020-08-09	601	5	1
我只喜欢你 原著小说  第 02 集【我不喜欢这世界，我只喜欢你】	2020-08-09	1332	11	2
我只喜欢你 原著小说  第 01 集【我不喜欢这世界，我只喜欢你】	2020-08-09	2733	31	0
锦衣之下 有声小说 第 18 集	2020-08-09	1769	13	0
锦衣之下 有声小说 第 17 集	2020-08-09	1705	13	0
锦衣之下 有声小说 第 16 集	2020-08-09	1786	12	0
锦衣之下 有声小说 第 15 集	2020-08-09	1736	9	0
锦衣之下 有声小说 第 14 集	2020-08-09	1834	16	1
锦衣之下 有声小说 第 13 集	2020-08-09	1836	14	0
锦衣之下 有声小说 第 12 集	2020-08-09	1792	14	0
锦衣之下 有声小说 第 11 集	2020-08-09	1855	14	0
锦衣之下 有声小说 第 10 集	2020-08-09	1799	13	0
锦衣之下 有声小说 第 09 集	2020-08-09	1777	15	0
锦衣之下 有声小说 第 08 集	2020-08-09	1788	14	1
锦衣之下 有声小说 第 07 集	2020-08-09	1945	12	0
锦衣之下 有声小说 第 06 集	2020-08-09	2086	9	0
锦衣之下 有声小说 第 05 集	2020-08-09	2447	12	0
锦衣之下 有声小说 第 04 集	2020-08-09	2872	16	0
锦衣之下 有声小说 第 03 集	2020-08-09	3199	18	0
